/usr/src/perl/perl-5.8.8/lib/auto/attrs/attrs.dll: new base = 56000000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/B/B.dll: new base = 56030000, new size = 40000
/usr/src/perl/perl-5.8.8/lib/auto/B/C/C.dll: new base = 56070000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/ByteLoader/ByteLoader.dll: new base = 560a0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Cwd/Cwd.dll: new base = 560d0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Data/Dumper/Dumper.dll: new base = 56100000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Devel/DProf/DProf.dll: new base = 56130000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Devel/Peek/Peek.dll: new base = 56160000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Devel/PPPort/PPPort.dll: new base = 56190000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Digest/MD5/MD5.dll: new base = 561c0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/Byte/Byte.dll: new base = 561f0000, new size = 50000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/CN/CN.dll: new base = 56240000, new size = e0000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/EBCDIC/EBCDIC.dll: new base = 56320000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/Encode.dll: new base = 56350000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/JP/JP.dll: new base = 56380000, new size = 100000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/KR/KR.dll: new base = 56480000, new size = f0000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/Symbol/Symbol.dll: new base = 56570000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/TW/TW.dll: new base = 565a0000, new size = e0000
/usr/src/perl/perl-5.8.8/lib/auto/Encode/Unicode/Unicode.dll: new base = 56680000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Fcntl/Fcntl.dll: new base = 566b0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/File/Glob/Glob.dll: new base = 566e0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Filter/Util/Call/Call.dll: new base = 56710000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/GDBM_File/GDBM_File.dll: new base = 56740000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/IO/IO.dll: new base = 56770000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/List/Util/Util.dll: new base = 567a0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/MIME/Base64/Base64.dll: new base = 567d0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/NDBM_File/NDBM_File.dll: new base = 56800000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/ODBM_File/ODBM_File.dll: new base = 56830000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Opcode/Opcode.dll: new base = 56860000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/PerlIO/encoding/encoding.dll: new base = 56890000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/PerlIO/scalar/scalar.dll: new base = 568c0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/PerlIO/via/via.dll: new base = 568f0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/POSIX/POSIX.dll: new base = 56920000, new size = 40000
/usr/src/perl/perl-5.8.8/lib/auto/re/re.dll: new base = 56960000, new size = 50000
/usr/src/perl/perl-5.8.8/lib/auto/SDBM_File/SDBM_File.dll: new base = 569b0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Socket/Socket.dll: new base = 569e0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Storable/Storable.dll: new base = 56a10000, new size = 40000
/usr/src/perl/perl-5.8.8/lib/auto/Sys/Hostname/Hostname.dll: new base = 56a50000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Sys/Syslog/Syslog.dll: new base = 56a80000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/threads/shared/shared.dll: new base = 56ab0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/threads/threads.dll: new base = 56ae0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Time/HiRes/HiRes.dll: new base = 56b10000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/Unicode/Normalize/Normalize.dll: new base = 56b40000, new size = 60000
/usr/src/perl/perl-5.8.8/lib/auto/XS/APItest/APItest.dll: new base = 56ba0000, new size = 30000
/usr/src/perl/perl-5.8.8/lib/auto/XS/Typemap/Typemap.dll: new base = 56bd0000, new size = 30000
/usr/src/perl/perl-5.8.8/msys-perl5_8.dll: new base = 56c00000, new size = 150000
